State,Year,Month,Monthly_Rainfall_mm,Soil_Moisture_%,River_Discharge_Cumecs,Dam_Capacity_MCM,Reservoir_Level_%,Elevation_m,Drainage_Density,Population_Density,Urbanization_%,Previous_Month_Rainfall,Flood_Occurred
Maharashtra,2005,1,99.86856612044932,53.58449851840048,309.3919103072396,5190.609389379256,67.61903608890144,91.83500019145819,3.531616510212273,1242.1185223120967,64.56508044572318,71.14144264209632,0
Maharashtra,2005,2,70.63452172203277,41.84984909027304,160.70107819680726,3129.695700716764,55.938658444828356,789.5108652901956,2.0118075652474054,653.3353663762796,57.829702630566565,55.35601448361305,0
Maharashtra,2005,3,43.67903697915156,26.796722231434977,117.23912051684859,6496.231729751095,53.778993140624706,890.6597804487535,0.662576444519992,1254.335218612733,26.936688658110405,32.28016044674013,0
Maharashtra,2005,4,23.010072551461732,29.749979636806316,49.39130874723576,5789.631185585098,56.37741997590491,663.0279781407039,0.9271338219567259,1040.8361292114132,17.407196478065288,28.661167840637493,0
Maharashtra,2005,5,112.90179648412756,46.01701262132167,278.5927036799977,4640.476148244676,60.58867845625396,1454.529018508015,3.212964881763901,1885.0479889719593,77.63791452993541,119.5336465742453,0
Maharashtra,2005,6,315.74889886952985,98.84637128873139,760.0150347269408,6801.162564063506,100.0,538.346223406916,1.4832707839058328,1131.1225580006721,24.864695748233387,372.9999172184006,1
Maharashtra,2005,7,245.8462399755233,97.57832288228951,493.72886754835974,6708.229999183839,100.0,1158.049168295489,0.7591562810693162,781.0848842341179,23.11083416675908,299.4068071597708,0
Maharashtra,2005,8,374.5024095292959,100.0,784.7089520503262,3176.876252009635,100.0,491.1490664299868,3.0536216241832244,1311.359195574905,77.10489198034286,368.2590630438148,1
Maharashtra,2005,9,328.9308820038107,100.0,1033.2303095929235,4928.940382986473,100.0,786.4855799260811,1.9963935642549238,148.29634081378086,22.552399889531312,236.4544352638269,1
Maharashtra,2005,10,142.58574623256024,51.45893197222603,393.9438897327126,7352.965317482651,93.20064004316228,377.69188257756804,1.9363402306247042,1535.5471632317924,31.015871584413574,106.39576509550436,0
Maharashtra,2005,11,47.660255884272495,36.89749353522276,161.78495377702666,6656.842656950918,63.45209794230249,1206.4897549641762,1.1529952061011255,1795.8620971309579,52.75395693409555,56.45186176280429,0
Maharashtra,2005,12,93.15004438638738,50.19462563215107,201.67710125461542,2595.5461377935917,74.67626834365596,643.5261439962532,3.363051680728726,1735.3881081870525,15.486649137183349,93.75071141366789,0
Maharashtra,2006,1,23.38517031798343,31.63983935184227,50.97494868145559,3363.3061998253957,45.40269397873493,780.5919795063323,2.9605663561331226,790.8962445206586,83.02474579046725,29.873815571170624,0
Maharashtra,2006,2,96.16203427258154,53.85500052302898,235.72367405587798,2993.8834606422733,52.113564061872225,60.14598629502653,2.633475168929639,1055.090144134837,18.603512587499253,83.39055049711989,0
Maharashtra,2006,3,72.3055614087551,51.0918637755249,160.32618042521867,4426.169321942942,73.11989656777673,360.2681282686375,3.0487572201415087,798.7879521665811,59.26140814155056,78.0985258295442,0
Maharashtra,2006,4,110.07732130747097,48.71292214157005,358.07643440880526,3245.4604548021507,73.79214587808701,283.84517304778205,0.6427129954416737,1222.6965920576595,62.42950532895977,78.14969118004066,0
Maharashtra,2006,5,17.973462757354696,35.178995437398946,53.340909195433674,2220.5650030349398,36.19779648486838,1405.411333161418,0.9813233045109764,748.0260669954912,22.943146486841236,22.553391716204274,0
Maharashtra,2006,6,423.99475240140316,100.0,1267.7341630835133,6720.555401408511,100.0,835.0252133411961,2.353777024246023,559.5193527108581,21.517193746412943,525.0451905674171,1
Maharashtra,2006,7,320.7906235398739,100.0,804.7176141834065,3444.467022288626,100.0,1331.1942042763503,3.2295644105016836,1319.8601276931468,20.88979754965342,255.6628220637272,1
Maharashtra,2006,8,323.7587738586549,100.0,651.9839869490819,1710.3008000622249,100.0,996.9351448165435,0.5177155434617654,405.53529769324746,53.41136525566103,361.03542620726523,1
Maharashtra,2006,9,204.6957202237881,87.73946614228532,628.061498410802,2660.7436124776004,100.0,976.201184075586,3.472281936729623,1349.4644953706525,54.781602233483014,154.79189859707216,0
Maharashtra,2006,10,47.17270726593158,28.09446624931993,111.60989256642398,7811.073883267119,46.43400468484688,592.6810983768069,3.6221629431198963,1299.1633893947994,70.6367912479154,47.24734655858212,0
Maharashtra,2006,11,69.41372667048176,74.55512333351663,159.15626842497605,6057.164806830538,50.11519302053341,1410.985583607607,3.838750019509056,1838.2423414188522,40.9111090178811,49.233349482328386,0
Maharashtra,2006,12,99.29889660972741,53.58340026361526,342.579428619723,7745.33983962477,77.19307716239561,1280.2491359237033,1.5305711222435499,831.685684343658,74.57956700617999,88.3912308808256,0
Maharashtra,2007,1,88.56374976520816,39.68354965418216,301.4915652708369,5872.208576724811,57.73055056755112,924.4358039152588,3.9651884753649216,366.15962894939565,51.283075665461574,108.61669435142137,0
